Timestamp,Frame,Temperature,Relay Activated,Buzzer Activated,SMS Sent
20241030_100641,None,N/A,False,False,False
20241030_105044,None,36.80,True,True,True
20241030_105044,None,36.80,True,True,True
20241030_105058,None,36.80,True,True,True
20241030_105101,None,36.80,True,True,True
20241030_105101,None,36.80,True,True,True
20241030_105101,None,36.80,True,True,True
20241030_105102,None,N/A,False,False,False
20241030_105102,None,36.80,True,True,True
20241030_105102,None,N/A,False,False,False
20241030_105102,None,35.70,True,True,True
20241030_105103,None,16.00,False,False,False
20241030_105103,None,N/A,False,False,False
20241030_105104,None,35.20,True,True,True
20241030_105105,None,N/A,False,False,False
20241030_105105,None,30.36,False,False,False
20241030_105105,None,N/A,False,False,False
20241030_105105,None,30.36,False,False,False
20241030_105105,None,30.76,False,False,False
20241030_105105,None,N/A,False,False,False
20241030_105105,None,30.36,False,False,False
20241030_105105,None,N/A,False,False,False
20241030_105106,None,30.20,False,False,False
20241030_105106,None,30.00,False,False,False
20241030_105106,None,30.92,False,False,False
20241030_105106,None,34.20,False,False,False
20241030_105106,None,30.00,False,False,False
20241030_105106,None,31.32,False,False,False
20241030_105106,None,N/A,False,False,False
20241030_105106,None,31.68,False,False,False
20241030_105106,None,N/A,False,False,False
20241030_105106,None,31.68,False,False,False
20241030_105106,None,31.12,False,False,False
20241030_105107,None,31.68,False,False,False
20241030_105107,None,31.12,False,False,False
20241030_105107,None,31.68,False,False,False
20241030_105107,None,31.12,False,False,False
20241030_105107,None,31.68,False,False,False
20241030_105107,None,31.32,False,False,False
20241030_105107,None,31.68,False,False,False
20241030_105107,None,31.32,False,False,False
20241030_105107,None,31.68,False,False,False
20241030_105107,None,31.12,False,False,False
20241030_105107,None,31.68,False,False,False
20241030_105107,None,30.92,False,False,False
20241030_105108,None,31.68,False,False,False
20241030_105108,None,N/A,False,False,False
20241030_105108,None,31.88,False,False,False
20241030_105108,None,N/A,False,False,False
20241030_105108,None,32.00,False,False,False
20241030_105108,None,N/A,False,False,False
